3149, 15657, 481, 6.00,
3161, 15657, 479, 6.00,
3172, 15657, 478, 6.00,
3183, 15657, 485, 6.00,
3194, 15657, 475, 6.00,
3205, 15673, 478, 6.00,
3216, 15673, 471, 6.00,
3228, 15690, 471, 6.00,
3239, 15690, 478, 6.00,
3250, 15657, 476, 6.00,
3262, 15690, 479, 6.00,
3273, 15690, 479, 6.00,
3284, 15690, 476, 6.01,
3296, 15706, 480, 6.00,
3307, 15706, 481, 6.00,
3318, 15706, 479, 6.00,
3330, 15706, 475, 6.01,
3341, 15723, 483, 6.00,
3352, 15723, 479, 6.00,
3363, 15723, 478, 6.00,
3374, 15723, 480, 6.01,
3385, 15772, 480, 6.00,
3397, 15739, 485, 6.00,
3408, 15739, 479, 6.00,
3419, 15739, 473, 6.00,
3431, 15706, 478, 6.01,
3442, 15756, 480, 6.00,
3453, 15739, 471, 6.00,
3465, 15706, 470, 6.00,
3476, 15756, 478, 6.00,
3487, 15739, 473, 6.00,
3499, 15772, 474, 6.00,
3510, 15772, 469, 6.00,
3521, 15772, 466, 6.01,
3532, 15756, 468, 6.01,
3543, 15789, 465, 6.01,
3554, 15789, 466, 6.01,
3566, 15789, 473, 6.00,
3577, 15806, 469, 6.01,
3588, 15789, 470, 6.01,
3600, 15806, 471, 6.00,
3611, 15806, 466, 6.01,
3622, 15806, 465, 6.02,
3634, 15822, 468, 6.01,
3645, 15822, 463, 6.01,
3656, 15822, 466, 6.01,
3667, 15822, 463, 6.01,
3678, 15822, 461, 6.01,
3689, 15822, 463, 6.01,
3701, 15822, 466, 6.01,
3712, 15789, 464, 6.01,
3723, 15806, 466, 6.00,
3735, 15839, 469, 6.01,
3746, 15839, 466, 6.01,
3757, 15856, 459, 6.01,
3769, 15772, 466, 6.01,
3780, 15856, 469, 6.01,
3791, 15839, 465, 6.01,
3802, 15839, 469, 6.01,
3813, 15856, 461, 6.01,
3824, 15806, 469, 6.00,
3835, 15856, 466, 6.01,
3846, 15856, 465, 6.01,
3857, 15873, 453, 6.01,
3869, 15856, 460, 6.01,
3880, 15856, 459, 6.01,
3891, 15839, 463, 6.01,
3903, 15873, 463, 6.01,
3914, 15723, 468, 6.01,
3926, 15321, 506, 5.99,
3937, 14880, 558, 5.96,
3948, 13914, 706, 5.90,
3959, 12626, 961, 5.79,
3971, 10775, 1503, 5.51,
3982, 8431, 2583, 5.06,
3993, 8431, 2878, 4.86,
4004, 8431, 2874, 4.84,
4015, 8431, 2861, 4.83,
4026, 8431, 2850, 4.82,
4038, 8431, 2845, 4.81,
4049, 8431, 2843, 4.80,
4060, 8431, 2841, 4.79,
4072, 8431, 2839, 4.79,
4083, 8431, 2834, 4.78,
4094, 8431, 2824, 4.78,
4106, 8431, 2809, 4.78,
4117, 8431, 2808, 4.78,
4128, 8431, 2810, 4.78,
4140, 8431, 2808, 4.77,
4151, 8431, 2806, 4.77,
4162, 8431, 2804, 4.76,
4173, 8431, 2805, 4.76,
4184, 8431, 2804, 4.76,
4195, 8431, 2801, 4.76,
4207, 8431, 2800, 4.75,
4218, 8431, 2798, 4.75,
4229, 8431, 2796, 4.75,
4241, 8431, 2793, 4.75,
4252, 8431, 2790, 4.75,
4263, 8431, 2786, 4.74,
4275, 8431, 2785, 4.74,
4286, 8431, 2785, 4.74,
4297, 8431, 2783, 4.74,
4308, 8431, 2780, 4.74,
4319, 8431, 2778, 4.74,
4330, 8431, 2775, 4.74,
4341, 8431, 2773, 4.74,
4352, 8431, 2773, 4.73,
4363, 8431, 2771, 4.73,
4375, 8431, 2770, 4.73,
4386, 8431, 2768, 4.73,
4397, 8431, 2768, 4.73,
4409, 8431, 2764, 4.73,
4420, 8431, 2764, 4.73,
4431, 8431, 2761, 4.72,
4443, 8431, 2761, 4.72,
4454, 8431, 2759, 4.72,
4465, 8431, 2758, 4.72,
4476, 8431, 2758, 4.72,
4487, 8431, 2755, 4.72,
4498, 8431, 2754, 4.72,
4510, 8431, 2751, 4.72,
4521, 8431, 2749, 4.72,
4532, 8431, 2748, 4.72,
4544, 8431, 2746, 4.72,
4555, 8431, 2745, 4.72,
4566, 8431, 2744, 4.72,
4578, 8431, 2741, 4.71,
4589, 8431, 2740, 4.71,
4600, 8431, 2739, 4.71,
4612, 8431, 2736, 4.71,
4623, 8431, 2736, 4.71,
4634, 8431, 2735, 4.71,
4645, 8431, 2733, 4.71,
4656, 8431, 2733, 4.71,
4667, 8431, 2730, 4.71,
4679, 8431, 2729, 4.71,
4690, 8431, 2728, 4.71,
4701, 8431, 2725, 4.71,
4713, 8431, 2724, 4.71,
4724, 8431, 2724, 4.71,
4736, 8431, 2721, 4.71,
4747, 8431, 2720, 4.71,
4758, 8431, 2720, 4.71,
4769, 8431, 2718, 4.70,
4781, 8431, 2718, 4.70,
4792, 8431, 2715, 4.70,
4803, 8431, 2714, 4.70,
4814, 8431, 2713, 4.70,
4825, 8431, 2711, 4.70,
4836, 8431, 2710, 4.70,
4848, 8431, 2709, 4.70,
4859, 8431, 2708, 4.70,
4870, 8431, 2706, 4.70,
4881, 8431, 2706, 4.70,
4892, 8431, 2704, 4.70,
4903, 8431, 2704, 4.70,
4914, 8431, 2703, 4.70,
4925, 8431, 2701, 4.70,
