Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
11240, 16703, 170.50, 2971.25
11258, 16722, 184.40, 2971.25
11276, 16685, 170.65, 2971.25
11293, 16703, 173.50, 2971.25
11311, 16703, 171.50, 2971.25
11328, 16703, 166.45, 2971.25
11345, 16703, 186.75, 2971.25
11363, 16778, 162.40, 2971.25
11380, 16703, 177.10, 2971.25
11398, 16703, 174.95, 2971.25
11415, 16703, 176.35, 2971.25
11432, 16611, 178.90, 2971.25
11451, 16703, 168.00, 2971.25
11468, 16685, 184.40, 2971.25
11486, 16666, 175.05, 2971.25
11503, 16722, 183.85, 2971.25
11521, 16685, 180.85, 2971.25
11538, 16741, 168.35, 2971.25
11555, 16703, 176.90, 2971.25
11573, 16685, 163.80, 2971.25
11590, 16685, 179.95, 2971.25
11608, 16703, 169.60, 2971.25
11625, 16666, 176.30, 2971.25
11643, 16703, 184.95, 2971.25
11661, 16722, 181.45, 2971.25
11678, 16741, 178.00, 2971.25
11696, 16703, 178.40, 2971.25
11713, 16703, 169.65, 2971.25
11730, 16685, 182.55, 2971.25
11748, 16703, 159.40, 2971.25
11765, 16722, 183.95, 2971.25
11783, 16759, 175.40, 2971.25
11800, 16722, 177.70, 2971.25
11817, 16685, 184.60, 2971.25
11835, 16703, 168.50, 2971.25
11853, 16685, 178.80, 2971.25
11871, 16703, 164.30, 2971.25
11888, 16685, 157.15, 2971.25
11906, 16666, 90.65, 2971.25
11923, 16629, 0.00, 2971.25
11940, 16538, 0.00, 2971.25
11958, 16429, 0.00, 2971.25
11975, 16286, 0.00, 2971.25
11993, 16198, 0.00, 2971.25
12010, 16129, 0.00, 2971.25
12027, 16025, 0.00, 2971.25
12045, 15923, 0.00, 2971.25
12062, 15822, 0.00, 2971.25
12080, 15739, 0.00, 2971.25
12096, 15608, 0.00, 2971.25
12113, 15625, 0.00, 2971.25
12131, 15447, 0.00, 2971.25
12148, 15321, 0.00, 2971.25
12166, 15243, 0.00, 2971.25
12183, 15151, 0.00, 2971.25
12200, 15060, 0.00, 2971.25
12218, 14970, 0.00, 2971.25
12235, 14866, 0.00, 2971.25
12253, 14749, 0.00, 2971.25
12270, 14677, 0.00, 2971.25
12288, 14577, 0.00, 2971.25
12305, 14492, 0.00, 2971.25
12322, 14395, 0.00, 2971.25
12340, 14312, 0.00, 2971.25
12357, 14231, 0.00, 2971.25
12375, 14137, 0.00, 2971.25
12392, 14058, 0.00, 2971.25
12409, 13966, 0.00, 2971.25
12427, 13876, 0.00, 2971.25
12444, 13799, 0.00, 2971.25
12462, 13723, 0.00, 2971.25
12479, 13599, 0.00, 2971.25
12496, 13513, 0.00, 2971.25
12514, 13428, 0.00, 2971.25
12531, 13333, 0.00, 2971.25
12549, 13250, 0.00, 2971.25
12566, 13169, 0.00, 2971.25
12583, 13066, 0.00, 2971.25
12601, 12987, 0.00, 2971.25
12618, 12919, 0.00, 2971.25
12636, 12831, 0.00, 2971.25
12653, 12722, 0.00, 2971.25
12670, 12647, 0.00, 2971.25
12688, 12594, 0.00, 2971.25
12705, 12520, 0.00, 2971.25
12722, 12406, 0.00, 2971.25
12739, 12315, 0.00, 2971.25
12756, 12214, 0.00, 2971.25
12774, 12205, 0.00, 2971.25
12791, 12116, 0.00, 2971.25
12809, 12000, 0.00, 2971.25
12826, 11885, 0.00, 2971.25
12844, 11885, 0.00, 2971.25
12861, 11783, 0.00, 2971.25
12878, 11655, 0.00, 2971.25
12896, 11655, 0.00, 2971.25
12913, 11556, 0.00, 2971.25
12931, 11424, 0.00, 2971.25
12948, 11424, 0.00, 2971.25
12965, 11329, 0.00, 2971.25
12983, 11177, 0.00, 2971.25
13000, 11169, 0.00, 2971.25
13018, 11045, 0.00, 2971.25
13035, 11029, 0.00, 2971.25
13052, 10901, 0.00, 2971.25
13070, 10822, 0.00, 2971.25
13087, 10783, 0.00, 2971.25
13105, 10691, 0.00, 2971.25
13122, 10585, 0.00, 2971.25
13139, 10555, 0.00, 2971.25
13157, 10460, 0.00, 2971.25
13174, 10395, 0.00, 2971.25
13191, 10295, 0.00, 2971.25
13208, 10266, 0.00, 2971.25
13225, 10183, 0.00, 2971.25
13243, 10080, 0.00, 2971.25
13260, 10020, 0.00, 2971.25
13278, 9933, 0.00, 2971.25
13295, 9874, 0.00, 2971.25
13313, 9823, 0.00, 2971.25
13330, 9746, 0.00, 2971.25
13347, 9671, 0.00, 2971.25
13365, 9596, 0.00, 2971.25
13382, 9554, 0.00, 2971.25
13400, 9475, 0.00, 2971.25
13417, 9392, 0.00, 2971.25
13434, 9334, 0.00, 2971.25
13451, 9270, 0.00, 2971.25
13468, 9202, 0.00, 2971.25
13486, 9129, 0.00, 2971.25
13503, 9079, 0.00, 2971.25
13520, 9003, 0.00, 2971.25
13538, 8923, 0.00, 2971.25
13555, 8875, 0.00, 2971.25
13573, 8802, 0.00, 2971.25
13590, 8746, 0.00, 2971.25
13607, 8665, 0.00, 2971.25
13625, 8615, 0.00, 2971.25
13641, 8576, 0.00, 2971.25
13659, 8484, 0.00, 2971.25
13676, 8412, 0.00, 2971.25
13693, 8361, 0.00, 2971.25
13711, 8310, 0.00, 2971.25
13728, 8228, 0.00, 2971.25
13746, 8178, 0.00, 2971.25
13763, 8125, 0.00, 2971.25
13780, 8042, 0.00, 2971.25
13798, 7995, 0.00, 2971.25
13815, 7936, 0.00, 2971.25
13833, 7849, 0.00, 2971.25
13849, 7792, 0.00, 2971.25
13867, 7751, 0.00, 2971.25
13884, 7684, 0.00, 2971.25
13901, 7610, 0.00, 2971.25
13919, 7560, 0.00, 2971.25
13936, 7500, 0.00, 2971.25
13954, 7447, 0.00, 2971.25
13971, 7392, 0.00, 2971.25
13988, 7334, 0.00, 2971.25
14006, 7278, 0.00, 2971.25
14023, 7225, 0.00, 2971.25
14041, 7163, 0.00, 2971.25
14057, 7112, 0.00, 2971.25
14074, 7055, 0.00, 2971.25
14092, 6970, 0.00, 2971.25
14109, 6915, 0.00, 2971.25
14127, 6871, 0.00, 2971.25
14144, 6824, 0.00, 2971.25
14161, 6744, 0.00, 2971.25
14179, 6711, 0.00, 2971.25
14196, 6654, 0.00, 2971.25
14214, 6581, 0.00, 2971.25
14231, 6530, 0.00, 2971.25
14248, 6459, 0.00, 2971.25
14265, 6421, 0.00, 2971.25
14282, 6361, 0.00, 2971.25
14300, 6302, 0.00, 2971.25
14317, 6268, 0.00, 2971.25
14334, 6193, 0.00, 2971.25
14352, 6147, 0.00, 2971.25
14369, 6085, 0.00, 2971.25
14387, 6058, 0.00, 2971.25
14404, 5978, 0.00, 2971.25
14422, 5933, 0.00, 2971.25
14439, 5886, 0.00, 2971.25
14455, 5825, 0.00, 2971.25
14473, 5771, 0.00, 2971.25
14490, 5718, 0.00, 2971.25
14508, 5666, 0.00, 2971.25
14525, 5601, 0.00, 2971.25
14542, 5584, 0.00, 2971.25
14560, 5518, 0.00, 2971.25
14577, 5464, 0.00, 2971.25
14595, 5411, 0.00, 2971.25
14612, 5357, 0.00, 2971.25
14629, 5319, 0.00, 2971.25
14646, 5235, 0.00, 2971.25
