Fresh Duracell AA MOSFET
time (ms), RPM, Current (mA)
9807, 0, 3248.75,
9818, 0, 3248.75,
9829, 0, 3246.25,
9840, 0, 3243.75,
9851, 0, 3242.50,
9862, 0, 3240.00,
9873, 0, 3241.25,
9884, 0, 3238.75,
9895, 0, 3237.50,
9906, 0, 3240.00,
9917, 0, 3238.75,
9928, 0, 3237.50,
9939, 0, 3238.75,
9950, 0, 3236.25,
9961, 0, 3237.50,
9972, 0, 3236.25,
9984, 0, 3237.50,
9995, 0, 3238.75,
10006, 0, 3237.50,
10017, 0, 3236.25,
10028, 0, 3236.25,
10039, 0, 3235.00,
10050, 0, 3233.75,
10061, 0, 3235.00,
10072, 0, 3233.75,
10083, 0, 3231.25,
10094, 0, 3228.75,
10105, 0, 3228.75,
10116, 0, 3226.25,
10127, 0, 3227.50,
10138, 0, 3226.25,
10149, 0, 3226.25,
10160, 0, 3225.00,
10171, 0, 3222.50,
10182, 0, 3222.50,
10193, 0, 3222.50,
10204, 0, 3221.25,
10215, 0, 3218.75,
10226, 0, 3218.75,
10237, 0, 3215.00,
10248, 0, 3200.00,
10259, 0, 3205.00,
10270, 0, 3200.00,
10281, 0, 3185.00,
10292, 0, 3206.25,
10303, 0, 0.00,
10314, 0, 0.00,
