Found INA260 chip,,,
time (ms),time (s), mA, mA max
2179,1.823,411.25,4006.25
2184,1.828,402.5,4006.25
2188,1.832,413.75,4006.25
2193,1.837,371.25,4006.25
2197,1.841,472.5,4006.25
2202,1.846,418.75,4006.25
2206,1.85,426.25,4006.25
2211,1.855,363.75,4006.25
2215,1.859,420,4006.25
2221,1.865,441.25,4006.25
2225,1.869,502.5,4006.25
2230,1.874,516.25,4006.25
2234,1.878,390,4006.25
2238,1.882,388.75,4006.25
2243,1.887,468.75,4006.25
2247,1.891,441.25,4006.25
2252,1.896,400,4006.25
2256,1.9,325,4006.25
2262,1.906,333.75,4006.25
2266,1.91,368.75,4006.25
2271,1.915,403.75,4006.25
2275,1.919,441.25,4006.25
2280,1.924,486.25,4006.25
2284,1.928,473.75,4006.25
2289,1.933,397.5,4006.25
2293,1.937,416.25,4006.25
2298,1.942,415,4006.25
2302,1.946,475,4006.25
2308,1.952,486.25,4006.25
2312,1.956,450,4006.25
2317,1.961,448.75,4006.25
2321,1.965,482.5,4006.25
2326,1.97,452.5,4006.25
2330,1.974,421.25,4006.25
2335,1.979,425,4006.25
2339,1.983,475,4006.25
2344,1.988,415,4006.25
2349,1.993,431.25,4006.25
2354,1.998,366.25,4006.25
2358,2.002,353.75,4006.25
2363,2.007,495,4006.25
2367,2.011,437.5,4006.25
2371,2.015,365,4006.25
2376,2.02,417.5,4006.25
2380,2.024,357.5,4006.25
2385,2.029,408.75,4006.25
2390,2.034,426.25,4006.25
2395,2.039,421.25,4006.25
2399,2.043,441.25,4006.25
2404,2.048,426.25,4006.25
2408,2.052,521.25,4006.25
2413,2.057,393.75,4006.25
2417,2.061,440,4006.25
2422,2.066,453.75,4006.25
2426,2.07,493.75,4006.25
2432,2.076,523.75,4006.25
2436,2.08,390,4006.25
2441,2.085,433.75,4006.25
2445,2.089,422.5,4006.25
2450,2.094,472.5,4006.25
2454,2.098,451.25,4006.25
2459,2.103,420,4006.25
2463,2.107,417.5,4006.25
2468,2.112,345,4006.25
2472,2.116,413.75,4006.25
2478,2.122,355,4006.25
2482,2.126,462.5,4006.25
2487,2.131,397.5,4006.25
2491,2.135,358.75,4006.25
2496,2.14,423.75,4006.25
2500,2.144,347.5,4006.25
2504,2.148,377.5,4006.25
2509,2.153,373.75,4006.25
2513,2.157,432.5,4006.25
2519,2.163,405,4006.25
2523,2.167,372.5,4006.25
2528,2.172,411.25,4006.25
2532,2.176,392.5,4006.25
2537,2.181,470,4006.25
2541,2.185,442.5,4006.25
2546,2.19,411.25,4006.25
2550,2.194,412.5,4006.25
2555,2.199,427.5,4006.25
2560,2.204,447.5,4006.25
2565,2.209,458.75,4006.25
2569,2.213,427.5,4006.25
2574,2.218,462.5,4006.25
2578,2.222,482.5,4006.25
2583,2.227,375,4006.25
2587,2.231,385,4006.25
2592,2.236,365,4006.25
2596,2.24,436.25,4006.25
2601,2.245,410,4006.25
2606,2.25,418.75,4006.25
2611,2.255,418.75,4006.25
2615,2.259,387.5,4006.25
2620,2.264,373.75,4006.25
2624,2.268,366.25,4006.25
2628,2.272,402.5,4006.25
2633,2.277,397.5,4006.25
2637,2.281,396.25,4006.25
2642,2.286,42.5,4006.25
2647,2.291,0,4006.25
2651,2.295,0,4006.25
2656,2.3,0,4006.25
2660,2.304,0,4006.25
2664,2.308,0,4006.25
2668,2.312,0,4006.25
2672,2.316,0,4006.25
2676,2.32,0,4006.25
2680,2.324,0,4006.25
2685,2.329,0,4006.25
2690,2.334,0,4006.25
2694,2.338,0,4006.25
2698,2.342,0,4006.25
2702,2.346,0,4006.25
2706,2.35,0,4006.25
2711,2.355,0,4006.25
2715,2.359,0,4006.25
2719,2.363,0,4006.25
2723,2.367,0,4006.25
2727,2.371,0,4006.25
2732,2.376,0,4006.25
2736,2.38,0,4006.25
2741,2.385,0,4006.25
2745,2.389,0,4006.25
2749,2.393,0,4006.25
2753,2.397,0,4006.25
2757,2.401,0,4006.25
2761,2.405,0,4006.25
2765,2.409,0,4006.25
2770,2.414,0,4006.25
2775,2.419,0,4006.25
2779,2.423,0,4006.25
2783,2.427,0,4006.25
2787,2.431,0,4006.25
2791,2.435,0,4006.25
2796,2.44,0,4006.25
2800,2.444,0,4006.25
2804,2.448,0,4006.25
2808,2.452,0,4006.25
2812,2.456,0,4006.25
2817,2.461,0,4006.25
2821,2.465,0,4006.25
2826,2.47,0,4006.25
2830,2.474,0,4006.25
2834,2.478,0,4006.25
2838,2.482,0,4006.25
2842,2.486,0,4006.25
2846,2.49,0,4006.25
2850,2.494,0,4006.25
2855,2.499,0,4006.25
2860,2.504,0,4006.25
2864,2.508,0,4006.25
2868,2.512,2.5,4006.25
2872,2.516,0,4006.25
2876,2.52,0,4006.25
2881,2.525,0,4006.25
2885,2.529,0,4006.25
2889,2.533,0,4006.25
2893,2.537,0,4006.25
2897,2.541,0,4006.25
2902,2.546,0,4006.25
2906,2.55,0,4006.25
2911,2.555,0,4006.25
2915,2.559,0,4006.25
2919,2.563,0,4006.25
2923,2.567,0,4006.25
2927,2.571,0,4006.25
2931,2.575,0,4006.25
2935,2.579,0,4006.25
2940,2.584,0,4006.25
2945,2.589,0,4006.25
2949,2.593,0,4006.25
2953,2.597,0,4006.25
2957,2.601,0,4006.25
2961,2.605,0,4006.25
2966,2.61,0,4006.25
2970,2.614,0,4006.25
2974,2.618,0,4006.25
2978,2.622,0,4006.25
2982,2.626,0,4006.25
2987,2.631,0,4006.25
2991,2.635,0,4006.25
2996,2.64,0,4006.25
3000,2.644,0,4006.25
3004,2.648,0,4006.25
3008,2.652,0,4006.25
3012,2.656,0,4006.25
3016,2.66,0,4006.25
3020,2.664,0,4006.25
3025,2.669,0,4006.25
3030,2.674,0,4006.25
3034,2.678,0,4006.25
3038,2.682,0,4006.25
3042,2.686,0,4006.25
3046,2.69,0,4006.25
3051,2.695,0,4006.25
3055,2.699,0,4006.25
3059,2.703,0,4006.25
3063,2.707,0,4006.25
3067,2.711,0,4006.25
3072,2.716,0,4006.25
3076,2.72,0,4006.25
3081,2.725,0,4006.25
3085,2.729,0,4006.25
3089,2.733,0,4006.25
3093,2.737,0,4006.25
3097,2.741,0,4006.25
3101,2.745,0,4006.25
3106,2.75,0,4006.25
3110,2.754,0,4006.25
3115,2.759,0,4006.25
3119,2.763,0,4006.25
3123,2.767,0,4006.25
3127,2.771,0,4006.25
3131,2.775,0,4006.25
3136,2.78,0,4006.25
3140,2.784,0,4006.25
3144,2.788,0,4006.25
3148,2.792,0,4006.25
3152,2.796,0,4006.25
3156,2.8,0,4006.25
3161,2.805,0,4006.25
3166,2.81,0,4006.25
3170,2.814,0,4006.25
3174,2.818,0,4006.25
3178,2.822,0,4006.25
3182,2.826,0,4006.25
3186,2.83,0,4006.25
3191,2.835,0,4006.25
3195,2.839,0,4006.25
3200,2.844,0,4006.25
3204,2.848,0,4006.25
3208,2.852,0,4006.25
3212,2.856,0,4006.25
3216,2.86,0,4006.25
3221,2.865,0,4006.25
3225,2.869,0,4006.25
3229,2.873,0,4006.25
3233,2.877,0,4006.25
3237,2.881,0,4006.25
3241,2.885,0,4006.25
3246,2.89,0,4006.25
3251,2.895,0,4006.25
3255,2.899,0,4006.25
3259,2.903,0,4006.25
3263,2.907,0,4006.25
3267,2.911,0,4006.25
3271,2.915,0,4006.25
3276,2.92,0,4006.25
3280,2.924,0,4006.25
3284,2.928,0,4006.25
3289,2.933,0,4006.25
3293,2.937,0,4006.25
3297,2.941,0,4006.25
3301,2.945,0,4006.25
3306,2.95,0,4006.25
3310,2.954,0,4006.25
3314,2.958,0,4006.25
3318,2.962,0,4006.25
3322,2.966,0,4006.25
3326,2.97,0,4006.25
3331,2.975,0,4006.25
3336,2.98,0,4006.25
3340,2.984,1.25,4006.25
3344,2.988,0,4006.25
3348,2.992,0,4006.25
3352,2.996,0,4006.25
3356,3,0,4006.25
3361,3.005,0,4006.25
3365,3.009,0,4006.25
3369,3.013,0,4006.25
3374,3.018,0,4006.25
3378,3.022,0,4006.25
3382,3.026,0,4006.25
3386,3.03,0,4006.25
3391,3.035,0,4006.25
3395,3.039,0,4006.25
3399,3.043,0,4006.25
3403,3.047,0,4006.25
3407,3.051,0,4006.25
3411,3.055,0,4006.25
3416,3.06,0,4006.25
3421,3.065,0,4006.25
3425,3.069,0,4006.25
3429,3.073,0,4006.25
3433,3.077,0,4006.25
3437,3.081,0,4006.25
3441,3.085,0,4006.25
3446,3.09,0,4006.25
3450,3.094,0,4006.25
3454,3.098,0,4006.25
3459,3.103,0,4006.25
3463,3.107,0,4006.25
3467,3.111,0,4006.25
3471,3.115,0,4006.25
3476,3.12,0,4006.25
3480,3.124,0,4006.25
3484,3.128,0,4006.25
3488,3.132,0,4006.25
3492,3.136,0,4006.25
3496,3.14,0,4006.25
3501,3.145,0,4006.25
3506,3.15,0,4006.25
3510,3.154,0,4006.25
3514,3.158,0,4006.25
3518,3.162,0,4006.25
3522,3.166,0,4006.25
3526,3.17,0,4006.25
3531,3.175,0,4006.25
3535,3.179,0,4006.25
3539,3.183,0,4006.25
3544,3.188,0,4006.25
3548,3.192,0,4006.25
3552,3.196,0,4006.25
3556,3.2,0,4006.25
3561,3.205,0,4006.25
3565,3.209,0,4006.25
3569,3.213,0,4006.25
3573,3.217,0,4006.25
3577,3.221,0,4006.25
3581,3.225,0,4006.25
3586,3.23,0,4006.25
3591,3.235,0,4006.25
3595,3.239,0,4006.25
3599,3.243,0,4006.25
3603,3.247,0,4006.25
3607,3.251,0,4006.25
3611,3.255,0,4006.25
3616,3.26,0,4006.25
3620,3.264,0,4006.25
3624,3.268,0,4006.25
3629,3.273,0,4006.25
3633,3.277,0,4006.25
3637,3.281,0,4006.25
3641,3.285,0,4006.25
3646,3.29,0,4006.25
3650,3.294,0,4006.25
3654,3.298,0,4006.25
3658,3.302,0,4006.25
3662,3.306,0,4006.25
3666,3.31,0,4006.25
3672,3.316,0,4006.25
3676,3.32,0,4006.25
3680,3.324,0,4006.25
3684,3.328,0,4006.25
3688,3.332,0,4006.25
3692,3.336,0,4006.25
3696,3.34,0,4006.25
3701,3.345,0,4006.25
3705,3.349,0,4006.25
3709,3.353,0,4006.25
3714,3.358,0,4006.25
3718,3.362,0,4006.25
3722,3.366,0,4006.25
3726,3.37,0,4006.25
3731,3.375,0,4006.25
3735,3.379,0,4006.25
3739,3.383,0,4006.25
3743,3.387,0,4006.25
3747,3.391,0,4006.25
3751,3.395,0,4006.25
