time (ms),time(s), rpm, mA, mA max,,,,
9489,6.15,12028,0,3455,,,,
9500,6.161,11990,0,3455,,,,
9511,6.172,11923,0,3455,,,,
9522,6.183,11876,0,3455,,,,
9533,6.194,11829,0,3455,,,,
9544,6.205,11783,0,3455,,,,
9555,6.216,11737,0,3455,,,,
9566,6.227,11655,0,3455,,,,
9577,6.238,11636,0,3455,,,,
9588,6.249,11591,0,3455,,,,
9600,6.261,11574,0,3455,,,,
9611,6.272,11503,0,3455,,,,
9622,6.283,11432,0,3455,,,,
9633,6.294,11406,0,3455,,,,
9644,6.305,11372,0,3455,,,,
9655,6.316,11329,0,3455,,,,
9666,6.327,11286,0,3455,,,,
9677,6.338,11235,0,3455,,,,
9688,6.349,11210,0,3455,,,,
9699,6.36,11127,0,3455,,,,
9710,6.371,11061,0,3455,,,,
9721,6.382,10997,0,3455,,,,
9732,6.393,10956,0,3455,,,,
9743,6.404,10948,0,3455,,,,
9754,6.415,10901,0,3455,,,,
9765,6.426,10861,0,3455,,,,
9776,6.437,10814,0,3455,,,,
9787,6.448,10768,0,3455,,,,
9798,6.459,10729,0,3455,,,,
9809,6.47,10676,0,3455,,,,
9820,6.481,10660,0,3455,,,,
9831,6.492,10563,0,3455,,,,
9842,6.503,10570,0,3455,,,,
9853,6.514,10518,0,3455,,,,
9864,6.525,10474,0,3455,,,,
9875,6.536,10423,0,3455,,,,
9886,6.547,10387,0,3455,,,,
9897,6.558,10288,0,3455,,,,
9908,6.569,10302,0,3455,,,,
9919,6.58,10252,0,3455,,,,
9930,6.591,10204,0,3455,,,,
9942,6.603,10183,0,3455,,,,
9953,6.614,10135,0,3455,,,,
9964,6.625,10094,0,3455,,,,
9975,6.636,10046,0,3455,,,,
9986,6.647,10000,0,3455,,,,
9997,6.658,9920,0,3455,,,,
10008,6.669,9868,0,3455,,,,
10019,6.68,9887,0,3455,,,,
10030,6.691,9836,0,3455,,,,
10041,6.702,9771,0,3455,,,,
10052,6.713,9746,0,3455,,,,
10063,6.724,9677,0,3455,,,,
10074,6.735,9640,0,3455,,,,
10085,6.746,9627,0,3455,,,,
10096,6.757,9578,0,3455,,,,
10107,6.768,9529,0,3455,,,,
10118,6.779,9511,0,3455,,,,
10129,6.79,9457,0,3455,,,,
10140,6.801,9375,0,3455,,,,
10151,6.812,9375,0,3455,,,,
10162,6.823,9339,0,3455,,,,
10173,6.834,9287,0,3455,,,,
10184,6.845,9247,0,3455,,,,
10195,6.856,9219,0,3455,,,,
10206,6.867,9168,0,3455,,,,
