Adafruit INA260 Test,,,,
Found INA260 chip,,,,
time (ms),time(s), rpm, mA, mA max
11341,6.303,0,141.25,2620
11352,6.314,0,140,2620
11363,6.325,0,140,2620
11374,6.336,0,140,2620
11385,6.347,0,140,2620
11396,6.358,0,140,2620
11407,6.369,0,140,2620
11418,6.38,0,138.75,2620
11429,6.391,0,138.75,2620
11440,6.402,0,138.75,2620
11451,6.413,0,138.75,2620
11462,6.424,0,138.75,2620
11473,6.435,0,137.5,2620
11484,6.446,0,138.75,2620
11495,6.457,0,138.75,2620
11506,6.468,0,138.75,2620
11517,6.479,0,137.5,2620
11528,6.49,0,137.5,2620
11539,6.501,0,137.5,2620
11550,6.512,0,137.5,2620
11561,6.523,0,136.25,2620
11572,6.534,0,135,2620
11583,6.545,0,136.25,2620
11594,6.556,0,136.25,2620
11606,6.568,0,137.5,2620
11617,6.579,0,136.25,2620
11628,6.59,0,135,2620
11639,6.601,0,135,2620
11650,6.612,0,135,2620
11661,6.623,0,136.25,2620
11672,6.634,0,133.75,2620
11683,6.645,0,135,2620
11694,6.656,0,133.75,2620
11705,6.667,0,132.5,2620
11716,6.678,0,133.75,2620
11727,6.689,0,133.75,2620
11738,6.7,0,133.75,2620
11749,6.711,0,133.75,2620
11760,6.722,0,132.5,2620
11771,6.733,0,132.5,2620
11782,6.744,0,133.75,2620
11793,6.755,0,132.5,2620
11804,6.766,0,132.5,2620
11815,6.777,0,133.75,2620
11826,6.788,0,133.75,2620
11837,6.799,0,132.5,2620
11848,6.81,0,133.75,2620
11859,6.821,0,132.5,2620
11870,6.832,0,131.25,2620
11881,6.843,0,132.5,2620
11892,6.854,0,131.25,2620
11904,6.866,0,131.25,2620
11915,6.877,0,130,2620
11926,6.888,0,131.25,2620
11937,6.899,0,131.25,2620
11948,6.91,0,132.5,2620
11959,6.921,0,130,2620
11970,6.932,0,130,2620
11981,6.943,0,130,2620
11992,6.954,0,130,2620
12003,6.965,0,130,2620
12014,6.976,0,128.75,2620
12025,6.987,0,130,2620
12036,6.998,0,128.75,2620
12047,7.009,0,127.5,2620
12058,7.02,0,131.25,2620
12069,7.031,0,128.75,2620
12080,7.042,0,128.75,2620
12091,7.053,0,127.5,2620
12102,7.064,0,127.5,2620
12113,7.075,0,127.5,2620
12124,7.086,0,127.5,2620
12135,7.097,0,127.5,2620
12146,7.108,0,128.75,2620
12157,7.119,0,126.25,2620
12168,7.13,0,128.75,2620
12179,7.141,0,127.5,2620
12190,7.152,0,126.25,2620
12201,7.163,0,127.5,2620
12212,7.174,0,127.5,2620
12223,7.185,0,127.5,2620
12234,7.196,0,126.25,2620
12246,7.208,0,126.25,2620
12257,7.219,0,126.25,2620
12268,7.23,0,127.5,2620
12279,7.241,0,126.25,2620
12290,7.252,0,125,2620
12301,7.263,0,125,2620
12312,7.274,0,126.25,2620
12323,7.285,0,126.25,2620
12334,7.296,0,126.25,2620
12345,7.307,0,125,2620
12356,7.318,0,126.25,2620
12367,7.329,0,125,2620
12378,7.34,0,125,2620
12389,7.351,0,125,2620
12400,7.362,0,125,2620
12411,7.373,0,123.75,2620
12422,7.384,0,125,2620
12433,7.395,0,123.75,2620
12444,7.406,0,123.75,2620
12455,7.417,0,123.75,2620
12466,7.428,0,125,2620
12477,7.439,0,125,2620
12488,7.45,0,123.75,2620
12499,7.461,0,123.75,2620
12510,7.472,0,122.5,2620
12521,7.483,0,122.5,2620
12532,7.494,0,123.75,2620
12544,7.506,0,122.5,2620
12555,7.517,0,122.5,2620
12566,7.528,0,123.75,2620
12577,7.539,0,125,2620
12588,7.55,0,122.5,2620
12599,7.561,0,121.25,2620
12610,7.572,0,122.5,2620
12621,7.583,0,122.5,2620
12632,7.594,0,122.5,2620
12643,7.605,0,121.25,2620
12654,7.616,0,121.25,2620
12665,7.627,0,121.25,2620
12676,7.638,0,122.5,2620
12687,7.649,0,121.25,2620
12698,7.66,0,120,2620
12709,7.671,0,121.25,2620
12720,7.682,0,121.25,2620
12731,7.693,0,120,2620
12742,7.704,0,121.25,2620
12753,7.715,0,121.25,2620
12764,7.726,0,121.25,2620
12775,7.737,0,121.25,2620
12786,7.748,0,121.25,2620
12797,7.759,0,120,2620
12808,7.77,0,121.25,2620
12819,7.781,0,120,2620
12830,7.792,0,120,2620
12841,7.803,0,120,2620
12852,7.814,0,120,2620
12863,7.825,0,120,2620
12874,7.836,0,121.25,2620
12886,7.848,0,118.75,2620
12897,7.859,0,121.25,2620
12908,7.87,0,120,2620
12919,7.881,0,121.25,2620
12930,7.892,0,118.75,2620
12941,7.903,0,120,2620
12952,7.914,0,120,2620
12963,7.925,0,120,2620
12974,7.936,0,120,2620
12985,7.947,0,118.75,2620
12996,7.958,0,118.75,2620
13007,7.969,0,118.75,2620
13018,7.98,0,118.75,2620
13029,7.991,0,117.5,2620
13040,8.002,0,117.5,2620
13051,8.013,0,120,2620
13062,8.024,0,118.75,2620
13073,8.035,0,120,2620
13084,8.046,0,117.5,2620
13095,8.057,0,118.75,2620
13106,8.068,0,117.5,2620
13117,8.079,0,118.75,2620
13128,8.09,0,118.75,2620
13139,8.101,0,116.25,2620
13150,8.112,0,117.5,2620
13161,8.123,0,117.5,2620
13172,8.134,0,117.5,2620
13184,8.146,0,117.5,2620
13195,8.157,0,116.25,2620
13206,8.168,0,117.5,2620
13217,8.179,0,116.25,2620
13228,8.19,0,118.75,2620
13239,8.201,0,117.5,2620
13250,8.212,0,117.5,2620
13261,8.223,0,116.25,2620
13272,8.234,0,116.25,2620
13283,8.245,0,115,2620
13294,8.256,0,116.25,2620
13305,8.267,0,116.25,2620
13316,8.278,0,117.5,2620
13327,8.289,0,116.25,2620
13338,8.3,0,117.5,2620
13349,8.311,0,118.75,2620
13360,8.322,0,115,2620
13371,8.333,0,115,2620
13382,8.344,0,117.5,2620
13393,8.355,0,116.25,2620
13404,8.366,0,115,2620
13415,8.377,0,115,2620
13426,8.388,0,115,2620
13437,8.399,0,116.25,2620
13448,8.41,0,116.25,2620
13459,8.421,0,115,2620
13470,8.432,0,115,2620
13481,8.443,0,116.25,2620
13492,8.454,0,116.25,2620
13503,8.465,0,115,2620
13514,8.476,0,115,2620
13526,8.488,0,115,2620
13537,8.499,0,113.75,2620
13548,8.51,0,116.25,2620
13559,8.521,0,116.25,2620
13570,8.532,0,113.75,2620
13581,8.543,0,115,2620
13592,8.554,0,115,2620
13603,8.565,0,113.75,2620
13614,8.576,0,116.25,2620
13625,8.587,0,115,2620
13636,8.598,0,113.75,2620
13647,8.609,0,116.25,2620
13658,8.62,0,115,2620
13669,8.631,0,113.75,2620
13680,8.642,0,113.75,2620
13691,8.653,0,113.75,2620
13702,8.664,0,113.75,2620
13713,8.675,0,113.75,2620
13724,8.686,0,112.5,2620
13735,8.697,0,113.75,2620
13746,8.708,0,115,2620
13757,8.719,0,113.75,2620
13768,8.73,0,113.75,2620
13779,8.741,0,112.5,2620
13790,8.752,0,115,2620
