time (ms), rpm, mA, mA max
12329, 9225, 0.00, 4416.25,
12340, 9191, 0.00, 4416.25,
12351, 9185, 0.00, 4416.25,
12362, 9074, 0.00, 4416.25,
12374, 9074, 0.00, 4416.25,
12385, 9014, 0.00, 4416.25,
12396, 8987, 0.00, 4416.25,
12407, 8939, 0.00, 4416.25,
12418, 8912, 0.00, 4416.25,
12429, 8844, 0.00, 4416.25,
12440, 8797, 0.00, 4416.25,
12451, 8792, 0.00, 4416.25,
12462, 8736, 0.00, 4416.25,
12473, 8720, 0.00, 4416.25,
12484, 8640, 0.00, 4416.25,
12495, 8605, 0.00, 4416.25,
12506, 8576, 0.00, 4416.25,
12517, 8517, 0.00, 4416.25,
12528, 8513, 0.00, 4416.25,
12539, 8445, 0.00, 4416.25,
12550, 8431, 0.00, 4416.25,
12561, 8365, 0.00, 4416.25,
12572, 8347, 0.00, 4416.25,
12583, 8291, 0.00, 4416.25,
12594, 8282, 0.00, 4416.25,
12605, 8214, 0.00, 4416.25,
12616, 8174, 0.00, 4416.25,
12627, 8125, 0.00, 4416.25,
12638, 8108, 0.00, 4416.25,
12649, 8038, 0.00, 4416.25,
12660, 8025, 0.00, 4416.25,
12672, 7970, 0.00, 4416.25,
12683, 7961, 0.00, 4416.25,
12694, 7874, 0.00, 4416.25,
12705, 7869, 0.00, 4416.25,
12716, 7792, 0.00, 4416.25,
12727, 7784, 0.00, 4416.25,
12738, 7727, 0.00, 4416.25,
12749, 7708, 0.00, 4416.25,
12760, 7668, 0.00, 4416.25,
12771, 7602, 0.00, 4416.25,
12782, 7614, 0.00, 4416.25,
12793, 7507, 0.00, 4416.25,
12804, 7503, 0.00, 4416.25,
12815, 7473, 0.00, 4416.25,
12826, 7425, 0.00, 4416.25,
12837, 7381, 0.00, 4416.25,
12848, 7378, 0.00, 4416.25,
12859, 7317, 0.00, 4416.25,
12870, 7278, 0.00, 4416.25,
12881, 7242, 0.00, 4416.25,
12892, 7194, 0.00, 4416.25,
12903, 7166, 0.00, 4416.25,
12914, 7159, 0.00, 4416.25,
12925, 7068, 0.00, 4416.25,
12936, 7058, 0.00, 4416.25,
12947, 7015, 0.00, 4416.25,
12958, 6989, 0.00, 4416.25,
12969, 6934, 0.00, 4416.25,
12980, 6902, 0.00, 4416.25,
12991, 6880, 0.00, 4416.25,
13002, 6805, 0.00, 4416.25,
13014, 6784, 0.00, 4416.25,
13025, 6772, 0.00, 4416.25,
13036, 6738, 0.00, 4416.25,
13047, 6684, 0.00, 4416.25,
13058, 6648, 0.00, 4416.25,
13069, 6610, 0.00, 4416.25,
13080, 6593, 0.00, 4416.25,
13091, 6555, 0.00, 4416.25,
13102, 6476, 0.00, 4416.25,
13113, 6468, 0.00, 4416.25,
13124, 6446, 0.00, 4416.25,
13135, 6399, 0.00, 4416.25,
13146, 6380, 0.00, 4416.25,
13157, 6350, 0.00, 4416.25,
13168, 6284, 0.00, 4416.25,
13179, 6250, 0.00, 4416.25,
13190, 6216, 0.00, 4416.25,
13201, 6200, 0.00, 4416.25,
13212, 6180, 0.00, 4416.25,
13223, 6127, 0.00, 4416.25,
13234, 6092, 0.00, 4416.25,
13245, 6067, 0.00, 4416.25,
13256, 6002, 0.00, 4416.25,
13267, 5983, 0.00, 4416.25,
13278, 5940, 0.00, 4416.25,
13289, 5910, 0.00, 4416.25,
13300, 5882, 0.00, 4416.25,
13312, 5866, 0.00, 4416.25,
13323, 5809, 0.00, 4416.25,
13334, 5782, 0.00, 4416.25,
13345, 5749, 0.00, 4416.25,
13356, 5714, 0.00, 4416.25,
13367, 5699, 0.00, 4416.25,
13378, 5647, 0.00, 4416.25,
13389, 5624, 1.25, 4416.25,
13400, 5586, 0.00, 4416.25,
13412, 5528, 0.00, 4416.25,
13423, 5492, 0.00, 4416.25,
13434, 5454, 0.00, 4416.25,
13445, 5428, 0.00, 4416.25,
13456, 5393, 0.00, 4416.25,
13467, 5357, 0.00, 4416.25,
13478, 5321, 0.00, 4416.25,
